Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
7312,80,false,0,8,C7,10,0,0,20,0,10,E8
7312,83,false,0,8,C7,10,0,0,20,0,10,47
7312,81,false,0,8,C7,10,0,0,20,0,10,8D
7312,89,false,0,8,C7,10,0,0,20,0,10,82
7313,86,false,0,8,C7,10,0,0,20,0,10,AB
7313,8A,false,0,8,C7,10,0,0,20,0,10,2D
7313,87,false,0,8,C7,10,0,0,20,0,10,CE
7313,8B,false,0,8,C7,10,0,0,20,0,10,48
7314,88,false,0,8,C7,10,0,0,20,0,10,E7
7314,84,false,0,8,C7,10,0,0,20,0,10,61
7314,82,false,0,8,C7,10,0,0,20,0,10,22
7314,85,false,0,8,C7,10,0,0,20,0,10,4
7315,112,false,0,8,0,0,33,0,0,0,0,0
7316,115,false,0,8,0,0,33,0,0,0,0,0
7336,100,false,0,8,0,0,0,10,0,0,0,7A
7337,101,false,0,8,0,0,0,10,0,0,0,1F
7338,102,false,0,8,0,0,0,10,0,0,0,B0
7339,103,false,0,8,0,0,0,10,0,0,0,D5
7340,104,false,0,8,0,0,0,10,0,0,0,F3
7341,105,false,0,8,0,0,0,10,0,0,0,96
7343,106,false,0,8,0,0,0,10,0,0,0,39
7343,107,false,0,8,0,0,0,10,0,0,0,5C
7344,108,false,0,8,0,0,0,10,0,0,0,75
7345,109,false,0,8,0,0,0,10,0,0,0,10
7346,10A,false,0,8,0,0,0,10,0,0,0,BF
7347,10B,false,0,8,0,0,0,10,0,0,0,DA
7383,200,false,0,8,0,0,43,0,0,0,C,0
7384,201,false,0,8,0,0,43,0,0,0,0,0
7385,202,false,0,8,0,0,43,0,0,0,0,0
7386,100,false,0,8,0,0,0,10,0,0,10,B7
7387,203,false,0,8,0,0,43,0,0,0,0,0
7387,101,false,0,8,0,0,0,10,0,0,10,D2
7388,204,false,0,8,0,0,43,0,0,0,0,0
7388,102,false,0,8,0,0,0,10,0,0,10,7D
7389,205,false,0,8,0,0,43,0,0,0,0,0
7389,103,false,0,8,0,0,0,10,0,0,10,18
7390,206,false,0,8,0,0,43,0,0,0,0,0
7390,104,false,0,8,0,0,0,10,0,0,10,3E
7391,207,false,0,8,0,0,43,0,0,0,0,0
7391,105,false,0,8,0,0,0,10,0,0,10,5B
7392,208,false,0,8,0,0,43,0,0,0,0,0
7392,106,false,0,8,0,0,0,10,0,0,10,F4
7393,209,false,0,8,0,0,43,0,0,0,0,0
7393,107,false,0,8,0,0,0,10,0,0,10,91
7394,20A,false,0,8,0,0,43,0,0,0,0,0
7394,108,false,0,8,0,0,0,10,0,0,10,B8
7395,20B,false,0,8,0,0,43,0,0,0,0,0
7395,109,false,0,8,0,0,0,10,0,0,10,DD
7396,10A,false,0,8,0,0,0,10,0,0,10,72
7397,10B,false,0,8,0,0,0,10,0,0,10,17
7412,80,false,0,8,C7,10,0,0,60,0,20,C2
7412,83,false,0,8,C7,10,0,0,60,0,20,6D
7412,89,false,0,8,C7,10,0,0,60,0,20,A8
7412,86,false,0,8,C7,10,0,0,60,0,20,81
7412,8A,false,0,8,C7,10,0,0,60,0,20,7
7413,87,false,0,8,C7,10,0,0,60,0,20,E4
7413,8B,false,0,8,C7,10,0,0,60,0,20,62
7413,88,false,0,8,C7,10,0,0,60,0,20,CD
7413,84,false,0,8,C7,10,0,0,60,0,20,4B
7414,81,false,0,8,C7,10,0,0,60,0,20,A7
7414,85,false,0,8,C7,10,0,0,60,0,20,2E
7414,82,false,0,8,C7,10,0,0,60,0,20,8
7414,110,false,0,8,10,0,33,0,0,0,0,0
7415,120,false,0,8,C5,4E,C4,4E,C5,4E,0,BF
7415,130,false,0,8,C5,4E,C3,4E,C4,4E,0,25
7415,140,false,0,8,C4,4E,C4,4E,0,40,0,60
7415,150,false,0,8,0,40,0,40,0,40,0,17
7416,111,false,0,8,10,0,33,0,0,0,0,0
7416,160,false,0,8,0,40,0,40,0,40,0,35
7416,170,false,0,8,0,40,0,0,0,0,0,55
